ADMINCODE,REGION,ZONE,YEAR,URIR,RRD
310000,上海,东部,2007,2.406725,32.618026
310000,上海,东部,2008,2.418133,31.557377
310000,上海,东部,2009,2.403802,30.15873
310000,上海,东部,2010,2.378047,31.707317
310000,上海,东部,2011,2.356167,30.952381
310000,上海,东部,2012,2.35675,31.51751
310000,上海,东部,2013,2.336422,31.764706
310000,上海,东部,2014,2.30469,31.439394
310000,上海,东部,2015,2.282353,29.787234
310000,上海,东部,2016,2.260658,31.365314
310000,上海,东部,2017,2.249632,31.226766
310000,上海,东部,2018,2.239802,30.483271
310000,上海,东部,2019,2.217653,29.588015
310000,上海,东部,2020,2.189482,29.323308
310000,上海,东部,2021,2.139846,29.323308
310000,上海,东部,2022,2.11518,29.166667
310000,上海,东部,2023,2.081441,29.389313
310000,上海,东部,2024,2.039589,
530000,云南,西部,2007,3.970932,62.435233
530000,云南,西部,2008,3.845878,64.323259
530000,云南,西部,2009,3.818629,65.594962
530000,云南,西部,2010,3.58863,66.589018
530000,云南,西部,2011,3.473114,68.737201
530000,云南,西部,2012,3.435245,71.919972
530000,云南,西部,2013,3.340274,74.829443
530000,云南,西部,2014,3.258986,78.756856
530000,云南,西部,2015,3.19983,82.638106
530000,云南,西部,2016,3.171951,85.361143
530000,云南,西部,2017,3.142973,88.932963
530000,云南,西部,2018,3.109955,94.700647
530000,云南,西部,2019,3.044698,100.041322
530000,云南,西部,2020,2.920106,114.243323
530000,云南,西部,2021,2.881243,120.252613
530000,云南,西部,2022,2.783918,128.375993
530000,云南,西部,2023,2.662612,138.045455
530000,云南,西部,2024,2.596676,
150000,内蒙古,西部,2007,3.073123,101.734104
150000,内蒙古,西部,2008,3.035995,110.932203
150000,内蒙古,西部,2009,3.138246,116.666667
150000,内蒙古,西部,2010,3.122837,127.090909
150000,内蒙古,西部,2011,2.998127,132.610745
150000,内蒙古,西部,2012,2.967697,138.439024
150000,内蒙古,西部,2013,2.894157,145.436105
150000,内蒙古,西部,2014,2.84182,153.974895
150000,内蒙古,西部,2015,2.839087,161.945946
150000,内蒙古,西部,2016,2.840469,187.556054
150000,内蒙古,西部,2017,2.834552,196.051103
150000,内蒙古,西部,2018,2.775121,204.191617
150000,内蒙古,西部,2019,2.668455,212.716049
150000,内蒙古,西部,2020,2.496107,223.431498
150000,内蒙古,西部,2021,2.42008,230.406291
150000,内蒙古,西部,2022,2.357059,236.206897
